Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison
elev;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne
ref;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne
bi;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver
elev;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver
acs;ble;ble;True;0.0;1.0;basse;inf a la moy;2021;printemps
bi;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps
bio;ble;ble;True;0.0;0.0;basse;inf a la moy;2021;printemps
elev;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps
ref;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps
acs;ble;ble;True;1.0;0.0;basse;sup a la moy;2021;printemps
bi;ble;ble;False;0.0;0.0;basse;sup a la moy;2021;printemps
elev;ble;ble;False;1.0;0.0;basse;sup a la moy;2021;printemps
pn;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps
ref;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps
bio;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete
elev;colza;colza;True;1.0;0.0;moyenne;absence;2019;ete
