Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison
ref;colza;colza_ge._fe._le.ve.;Trav_Sol_True;Phyto_True;Ferti_False;Temp_elevee;Pluie_absence;y_19;ete
bio;feverolle;feverolle;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_sup;y_19;automne
acs;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_20;hiver
pn;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_20;hiver
bi;colza;colza_ge._fe._le.ve._tr.;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_20;hiver
elev;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_20;hiver
ref;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_20;hiver
acs;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_20;hiver
pn;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_20;hiver
bi;colza;colza_ge._fe._le.ve._tr.;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_20;hiver
bio;feverolle;feverolle;Trav_Sol_False;Phyto_False;Ferti_False;Temp_basse;Pluie_sup;y_20;hiver
elev;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_20;hiver
ref;colza;colza;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_20;hiver
acs;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_20;hiver
pn;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_20;hiver
bi;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_20;hiver
elev;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_20;hiver
ref;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_20;hiver
