;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
278;ref;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
279;acs;colza;colza;False;0.0;0.0;moyenne;absence;2020;printemps;0;0;0
280;pn;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;1;1;0
281;bi;colza;colza;False;0.0;0.0;moyenne;absence;2020;printemps;0;0;0
282;bio;feverolle;feverolle;True;0.0;0.0;moyenne;absence;2020;printemps;1;1;0
283;elev;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
284;ref;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
285;acs;colza;colza;False;0.0;0.0;elevee;absence;2020;ete;1;1;0
286;pn;colza;colza;False;0.0;0.0;elevee;absence;2020;ete;0;0;0
287;bi;colza;colza;False;0.0;0.0;elevee;absence;2020;ete;1;1;0
288;bio;feverolle;feverolle;False;0.0;0.0;elevee;absence;2020;ete;0;0;0
289;elev;colza;colza;False;0.0;0.0;elevee;absence;2020;ete;1;1;0
290;ref;colza;colza;False;0.0;0.0;elevee;absence;2020;ete;1;1;0
291;acs;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2020;ete;0;0;0
292;pn;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2020;ete;0;0;0
293;bi;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2020;ete;0;1;0
294;bio;ble;sol_nu;True;0.0;0.0;moyenne;sup a la moy;2020;ete;1;1;0
295;elev;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2020;ete;0;0;0
296;ref;colza;colza;False;0.0;0.0;moyenne;sup a la moy;2020;ete;0;0;0
297;acs;ble;repousse_de_colza;False;1.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
298;pn;ble;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2020;automne;0;0;0
299;bi;colza;colza;False;0.0;0.0;moyenne;inf a la moy;2020;automne;0;0;0
300;bio;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne;0;0;0
301;elev;ble;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2020;automne;0;0;0
302;ref;ble;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2020;automne;0;0;1
303;acs;ble;ble;False;1.0;0.0;moyenne;inf a la moy;2020;automne;0;0;1
304;pn;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
305;bi;ble;ble;True;1.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
306;bio;ble;ble;True;1.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
307;elev;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
308;ref;ble;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2020;automne;1;1;1
309;acs;ble;ble;False;1.0;0.0;basse;inf a la moy;2020;automne;0;0;1
310;pn;ble;ble;True;1.0;0.0;basse;inf a la moy;2020;automne;0;0;0
311;bi;ble;ble;True;0.0;0.0;basse;inf a la moy;2020;automne;1;0;1
312;bio;ble;ble;True;0.0;0.0;basse;inf a la moy;2020;automne;0;0;1
313;elev;ble;ble;True;1.0;0.0;basse;inf a la moy;2020;automne;0;0;0
314;ref;ble;ble;True;1.0;0.0;basse;inf a la moy;2020;automne;0;0;0
315;acs;ble;ble;False;0.0;0.0;basse;inf a la moy;2021;hiver;0;0;1
316;pn;ble;ble;False;0.0;0.0;basse;inf a la moy;2021;hiver;0;0;0
317;bi;ble;ble;False;0.0;0.0;basse;inf a la moy;2021;hiver;0;0;0
318;bio;ble;ble;False;0.0;0.0;basse;inf a la moy;2021;hiver;0;0;0
319;elev;mais;inter-cultures;False;0.0;1.0;basse;inf a la moy;2021;hiver;0;0;0
320;ref;ble;ble;False;0.0;0.0;basse;inf a la moy;2021;hiver;0;0;0
321;acs;ble;ble;False;0.0;1.0;basse;absence;2021;hiver;1;0;1
322;pn;ble;ble;False;0.0;1.0;basse;absence;2021;hiver;1;0;0
323;bi;ble;ble;False;0.0;0.0;basse;absence;2021;hiver;0;0;0
324;bio;ble;ble;True;0.0;1.0;basse;absence;2021;hiver;1;0;0
325;elev;ble;ble;False;0.0;1.0;basse;absence;2021;hiver;1;0;1
326;ref;ble;ble;False;0.0;1.0;basse;absence;2021;hiver;1;1;0
327;acs;ble;ble;True;0.0;1.0;basse;sup a la moy;2021;hiver;0;0;0
328;pn;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver;0;0;0
329;bi;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver;1;1;1
330;bio;ble;ble;True;0.0;0.0;basse;sup a la moy;2021;hiver;1;1;0
331;elev;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver;1;1;1
332;ref;ble;ble;False;0.0;1.0;basse;sup a la moy;2021;hiver;0;1;0
333;acs;ble;ble;True;0.0;1.0;basse;inf a la moy;2021;printemps;1;1;1
334;pn;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps;1;1;0
335;bi;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps;1;1;1
336;bio;ble;ble;True;0.0;0.0;basse;inf a la moy;2021;printemps;1;1;1
337;elev;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps;1;1;1
338;ref;ble;ble;False;0.0;1.0;basse;inf a la moy;2021;printemps;1;1;1
339;acs;ble;ble;True;1.0;0.0;basse;sup a la moy;2021;printemps;0;1;1
340;pn;ble;ble;False;1.0;0.0;basse;sup a la moy;2021;printemps;1;1;0
341;bi;ble;ble;False;0.0;0.0;basse;sup a la moy;2021;printemps;1;1;1
342;bio;ble;ble;True;0.0;0.0;basse;sup a la moy;2021;printemps;0;0;0
343;elev;ble;ble;False;1.0;0.0;basse;sup a la moy;2021;printemps;1;1;1
344;ref;ble;ble;False;1.0;0.0;basse;sup a la moy;2021;printemps;0;0;0
345;acs;ble;ble;True;1.0;0.0;moyenne;absence;2021;printemps;0;0;0
346;pn;ble;ble;False;1.0;0.0;moyenne;absence;2021;printemps;0;0;0
347;bi;ble;ble;False;0.0;0.0;moyenne;absence;2021;printemps;0;0;0
348;bio;ble;ble;True;0.0;0.0;moyenne;absence;2021;printemps;0;0;0
349;elev;ble;ble;False;1.0;0.0;moyenne;absence;2021;printemps;0;0;0
350;ref;ble;ble;False;1.0;0.0;moyenne;absence;2021;printemps;0;0;0
351;acs;ble;ble;True;0.0;1.0;moyenne;inf a la moy;2021;printemps;1;0;0
352;pn;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2021;printemps;1;0;0
353;bi;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2021;printemps;1;0;0
354;bio;ble;ble;True;0.0;0.0;moyenne;inf a la moy;2021;printemps;0;0;0
355;elev;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2021;printemps;1;1;0
356;ref;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2021;printemps;0;0;0
357;acs;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps;1;1;0
358;pn;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps;1;1;1
359;bi;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;printemps;0;0;0
360;bio;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;printemps;0;0;1
361;elev;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps;0;0;0
362;ref;ble;ble;False;1.0;0.0;elevee;sup a la moy;2021;printemps;1;1;1
363;acs;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;0;0;0
364;pn;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;0;0;0
365;bi;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;1;1;0
366;bio;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;1;1;1
367;elev;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;1;1;0
368;ref;ble;ble;False;0.0;0.0;elevee;sup a la moy;2021;ete;0;0;1
369;elev;colza;sol_nu;True;0.0;0.0;elevee;sup a la moy;2019;ete;0;0;0
370;ref;colza;sol_nu;True;0.0;0.0;elevee;sup a la moy;2019;ete;0;0;0
371;elev;colza;colza;True;1.0;0.0;moyenne;absence;2019;ete;0;1;1
372;elev;colza;colza;True;1.0;0.0;moyenne;absence;2019;ete;0;0;0
